name,fdc_id,calories_kcal,protein_g,carb_g,fat_g
BLUEBERRIES,2376881,,0.71,12.14,0.71
RASPBERRIES,2009907,,0.7,26.06,0.0
RASPBERRIES,2430242,,1.43,12.14,0.71
RASPBERRIES,2579730,,1.43,12.14,0.71
"Grapes, raw",2709237,,0.9,19.4,0.2
"Grape juice, 100%",2709325,,0.18,15.7,0.28
GRAPES,2388443,,0.0,17.54,0.0
KIWI,2293390,,,,
KIWI,1662272,,1.35,14.86,0.68
KIWI,1662236,,1.35,14.86,0.68
BLACKBERRIES,2072076,,0.0,12.86,0.0
BLACKBERRIES,2446295,,1.47,15.44,0.37
BLACKBERRIES,2388113,,1.43,9.29,0.36
MANGO,2170097,,0.0,85.0,0.0
MANGO,2653104,,2.5,75.0,0.0
MANGO,2680464,,2.5,85.0,0.0
PINEAPPLE,2282543,,0.0,78.57,0.0
PINEAPPLE,2396249,,0.0,93.0,0.0
PINEAPPLE,2127873,,3.51,50.88,19.3
WATERMELON,2104697,,0.78,7.45,0.25
WATERMELON,2193119,,0.78,7.45,0.25
WATERMELON,2651932,,0.39,7.45,0.0
"Cantaloupe, raw",2709226,,0.82,8.16,0.18
Cantaloupe nectar,2709343,,0.33,15.6,0.11
CANTALOUPE,1568209,,0.75,8.96,0.0
PEACH,2440668,,0.19,11.68,0.0
PEACH,2069261,,0.42,19.17,0.0
PEACH,2053614,,4.44,53.33,22.22
"Plum, raw",2709265,,0.7,11.4,0.28
"Plum, canned",2709266,,0.52,13.5,0.23
"Plums, raw",169949,,0.7,11.42,0.28
Coconut oil,2710182,,0.0,0.84,99.1
COCONUT OIL,454002,,0.0,0.0,100.0
COCONUT OIL,2431105,,0.0,0.0,100.0
Olive oil,2710186,,0.0,0.0,100
OLIVE OIL,2290656,,0.0,,
OLIVE OIL,2073857,,0.0,7.14,42.86
AVOCADO OIL,2125999,,0.0,0.0,93.33
AVOCADO OIL,2158377,,0.0,0.0,93.33
AVOCADO OIL,1857558,,0.0,0.0,93.33
BUTTER,1932883,,0.0,0.0,78.57
BUTTER,2542726,,0.0,0.0,78.57
BUTTER,1920273,,1.18,2.35,0.0
GHEE,2548700,,0.0,0.0,100.0
GHEE,2170724,,53.85,0.0,100.0
GHEE,2171007,,0.0,0.0,100.0
WHOLE WHEAT BREAD,1886332,,11.63,44.19,3.49
WHOLE WHEAT BREAD,2286812,,11.63,44.19,2.33
WHOLE WHEAT BREAD,2078782,,12.28,43.86,3.51
RYE BREAD,2489331,,10.0,53.33,0.0
RYE BREAD,1782694,,8.33,47.22,4.17
RYE BREAD,2033720,,8.0,46.0,4.0
SOURDOUGH BREAD,1800578,,7.14,46.43,0.0
SOURDOUGH BREAD,2657126,,10.0,46.67,1.67
SOURDOUGH BREAD,2602014,,10.53,49.12,0.88
"Tortilla, corn",2707823,,5.7,44.6,2.85
"Tortilla, flour",2707824,,8.2,49.4,7.99
TORTILLA,2095061,,5.26,44.74,2.63
BAGEL,2283263,,0.0,,0.0
Bagel,2707684,,10.6,52.4,1.32
BAGEL,684916,,4.0,40.0,5.0
PASTA,2063604,,12.5,69.64,2.68
PASTA,465736,,12.5,78.57,1.79
PASTA,2071343,,11.32,66.04,2.83
"Noodles, cooked",2708352,,4.51,25.0,2.06
"Adobo, with noodles",2708809,,16.9,8.14,7.66
NOODLES,2017319,,11.11,77.78,1.85
Buckwheat groats,2708362,,3.24,19.0,3.97
BUCKWHEAT,2373541,,2.98,19.64,0.6
Buckwheat,170286,,13.25,71.5,3.4
WILD RICE,2027150,,14.58,75.0,1.04
WILD RICE,1940942,,13.33,77.78,1.11
WILD RICE,2059935,,15.56,75.56,1.44
COUSCOUS,2418489,,13.33,73.33,0.0
COUSCOUS,2388834,,13.33,77.78,0.0
COUSCOUS,2400817,,11.29,74.19,1.61
Millet,2708377,,3.5,23.6,1.0
"Millet, cooked",168871,,3.51,23.67,1.0
Millet flour,172023,,10.75,75.12,4.25
"Liver, beef or calves, and onions",2706876,,16.7,6.97,3.6
"Liver, beef",2706153,,26.3,5.12,4.64
"Beef, variety meats and by-products, liver, raw",169451,,20.36,3.89,3.63
"Liver, chicken",2706154,,20.0,6.48,8.69
"Chicken, liver, all classes, raw",171060,,16.92,0.73,4.83
"Pate, chicken liver, canned",172928,,13.45,6.55,13.1
GROUND BEEF,2058842,,15.18,0.0,26.79
GROUND BEEF,1942314,,16.96,0.0,26.79
GROUND BEEF,2071973,,15.18,0.0,26.79
RIBEYE STEAK,1662003,,19.47,0.0,10.62
RIBEYE STEAK,2545559,,18.75,0.0,19.64
RIBEYE STEAK,2490543,,20.54,0.0,14.29
PORK TENDERLOIN,589061,,17.86,2.68,2.23
PORK TENDERLOIN,1948931,,17.86,3.57,2.23
PORK TENDERLOIN,2524486,,19.54,1.15,3.45
SMOKED SALMON,403355,,23.21,3.57,8.93
SMOKED SALMON,403101,,23.21,3.57,8.93
SMOKED SALMON,2009104,,23.21,14.29,12.5
"Fish, anchovy",2706232,,28.9,0.0,9.71
ANCHOVIES,1850783,,20.0,0.0,10.0
ANCHOVIES,2022272,,20.0,0.2,5.9
"Fish, trout, fried",2706306,,17.1,11.7,16.9
"Fish, trout, NFS",2706302,,17.1,11.7,16.9
"Fish, trout, grilled",2706304,,25.3,0.0,10.1
"Fish, halibut",2706260,,20.7,7.79,6.24
HALIBUT,2100197,,20.59,0.0,1.76
"Fish, halibut, Greenland, raw",171965,,14.37,0.0,13.84
"Fish, herring",2706261,,20.1,7.79,14.3
"Fish oil, herring",172340,,0.0,0.0,100.0
"Fish, herring, Atlantic, kippered",173668,,24.58,0.0,12.37
RICOTTA CHEESE,2101682,,9.68,4.84,1.05
RICOTTA CHEESE,2055810,,11.29,4.84,9.68
RICOTTA CHEESE,2433041,,9.68,8.06,0.0
PARMESAN CHEESE,356507,,40.0,0.0,30.0
PARMESAN CHEESE,2096212,,40.0,0.0,30.0
PARMESAN CHEESE,2021452,,35.71,3.57,28.57
GOAT CHEESE,1935019,,25.0,0.0,32.14
GOAT CHEESE,2058141,,18.0,5.0,22.5
GOAT CHEESE,2032969,,25.0,0.0,28.57
Coconut milk,2705413,,0.21,2.92,2.08
COCONUT MILK,2510600,,1.25,2.5,13.75
COCONUT MILK,2407403,,0.0,3.75,6.25
"Almond milk, unsweetened",2705409,,0.55,0.34,1.22
"Almond milk, sweetened",2705407,,0.53,4.31,1.18
"Almond milk, chocolate",2705408,,0.57,7.44,1.2
"Soy milk, sweetened",2705404,,3.41,5.22,2.05
"Soy milk, chocolate",2705406,,3.35,8.32,2.03
"Soy milk, unsweetened",2705405,,3.55,1.29,2.12
CREAM CHEESE,2432038,,7.14,7.14,32.14
CREAM CHEESE,2126583,,7.14,7.14,32.14
CREAM CHEESE,2676402,,3.57,10.71,32.14
MAPLE SYRUP,493490,,0.0,86.67,0.0
MAPLE SYRUP,595770,,0.0,88.33,0.0
MAPLE SYRUP,2064837,,0.0,88.33,0.0
"Rice, cooked, with milk",2708416,,5.13,25.0,2.31
Rice milk,2705411,,0.28,9.17,0.97
"Beverages, rice milk, unsweetened",171942,,0.28,9.17,0.97
Honey,2710281,,0.3,82.4,0.0
HONEY,1126112,,0.0,80.0,0.0
Honey,169640,,0.3,82.4,0.0
Agave liquid sweetener,2710282,,0.09,76.4,0.45
AGAVE NECTAR,2009297,,0.0,76.19,0.0
"AGAVE ORGANIC LIGHT NECTAR, AGAVE",2323693,,0.0,76.19,0.0
STEVIA,2149523,,0.0,200.0,0.0
STEVIA,2103463,,0.0,100.0,0.0
STEVIA,2546688,,0.0,100.0,0.0
"Sugar substitute, monk fruit, powder",2710266,,0.0,100,0.0
"Jai, Monk's Food",2710037,,4.25,7.72,1.86
MONK FRUIT,1920665,,0.0,0.0,0.0
DARK CHOCOLATE,2293002,,,,
DARK CHOCOLATE,2439047,,6.98,51.16,37.21
DARK CHOCOLATE,2460230,,13.16,39.47,42.11
MILK CHOCOLATE,2215607,,4.0,52.0,28.0
MILK CHOCOLATE,2051295,,3.23,61.29,32.26
MILK CHOCOLATE,2051299,,3.23,61.29,32.26
COCOA POWDER,2133702,,25.0,50.0,12.5
COCOA POWDER,1662775,,20.0,60.0,20.0
COCOA POWDER,1161657,,25.0,50.0,12.5
"Vanilla extract, imitation, alcohol",172235,,0.05,2.41,0.0
"Vanilla extract, imitation, no alcohol",172236,,0.03,14.4,0.0
Vanilla extract,173471,,0.06,12.65,0.06
Oat milk,2705412,,0.66,5.37,2.33
"Oats, raw",2708489,,13.2,67.7,6.52
"Oat milk, unsweetened, plain, refrigerated",2257046,48.3298,0.796875,5.100325,2.749
"Fat, goose",173572,,0.0,0.0,99.8
"Goose egg, cooked",2707177,,12.9,1.27,18.1
"Goose, liver, raw",172415,,16.37,6.32,4.28
"Quail, cooked",2706149,,25.0,0.0,14.0
"Quail egg, canned",2707178,,13.0,0.41,11.1
"Quail, cooked, total edible",169902,,25.1,0.0,14.1
"Game meat, elk, raw",175301,,22.95,0.0,1.45
"Game meat, elk, cooked, roasted",175302,,30.19,0.0,1.9
"Game meat, elk, ground, raw",174425,,21.76,0.0,8.82
"Pheasant, cooked",2706150,,32.3,0.0,12.0
"Pheasant, raw, meat and skin",174472,,22.7,0.0,9.29
"Pheasant, cooked, total edible",169903,,32.4,0.0,12.1
Bison,2705920,,25.2,0.0,8.55
BISON,1597008,,21.24,0.0,6.19
"Bison, ground, raw",2727571,158.8468,19.88125,-0.14955,8.88
Ostrich,2705928,,25.9,0.0,7.01
"Ostrich, ground, raw",174481,,20.22,0.0,8.7
"Ostrich, fan, raw",174483,,21.81,0.0,2.65
Cando Kina Sea Urchin 150g,2182959,,10.1,1.8,4.7
"Sea cucumber, yane (Alaska Native)",167618,,13.0,0.0,0.4
"Fish, sea bass, mixed species, raw",175142,,18.43,0.0,2.0
Octopus (Alaska Native),168019,,12.3,0.0,0.8
OCTOPUS,2462553,,16.47,1.18,1.18
Octopus,2706331,,13.2,13.4,13.0
"Rice with squid, Puerto Rican style",2708977,,8.87,29.3,11.8
SQUID,1765580,,14.55,3.64,16.36
"Mollusks, squid, mixed species, raw",174223,,15.58,3.08,1.38
"Fish, eel",2706247,,20.6,7.79,17.1
"Sushi roll, eel",2708962,,5.95,15.3,2.98
"Sushi, topped with eel",2708968,,7.6,13.4,4.16
"Fish, flounder, fried",2706252,,11.4,11.7,13.6
"Fish, flounder, grilled",2706250,,15.7,0.0,4.72
FLOUNDER,2071464,,22.35,0.0,1.76
"Fish, catfish, fried",2706238,,13.5,11.7,16.7
"Fish, catfish, grilled",2706236,,19.3,0.0,9.8
CATFISH,1898975,,16.2,0.0,2.82
PROTEIN BAR,2068007,,30.77,44.62,6.15
PROTEIN BAR,2112671,,33.33,40.0,13.33
PROTEIN BAR,1917719,,26.47,47.06,13.24
"Cream substitute, liquid, with lauric acid oil and sodium caseinate",171262,,1.0,11.38,9.97
"CASEIN PROTEIN 24 G MICELLAR CASEIN POWDER, CHOCOLATE, CHOCOLATE",2412810,,68.57,8.57,1.43
WHEY + CASEIN PROTEIN POWDER,2666789,,60.61,24.24,3.03
HEMP PROTEIN POWDER,2671792,,38.71,41.94,6.45
HEMP PROTEIN SUPERFOODS,2653100,,50.0,21.43,10.71
"Seeds, hemp seed, hulled",170148,,31.56,8.67,48.75
Wasabi peas,2707422,,14.1,62.2,14.1
Pea salad,2710056,,2.98,10.6,14.0
"Soup, split pea",2707459,,3.55,10.6,0.7
ORIGINAL TEMPEH,2596799,,21.43,14.29,5.36
"Tempeh, cooked",172467,,19.91,7.62,11.38
Tempeh,174272,,20.29,7.64,10.8
"SEITAN WHEAT PROTEIN CUBED, SEITAN",2012995,,24.71,5.88,2.35
"SEITAN WHEAT PROTEIN STRIPS, SEITAN",2026764,,24.71,5.88,2.35
SEITAN PITA,2077758,,7.0,12.5,3.5
NUTRITIONAL YEAST,2411476,,50.0,33.33,0.0
NUTRITIONAL YEAST,2553098,,60.0,40.0,0.0
NUTRITIONAL YEAST,2467967,,50.0,31.25,3.12
"BLUE SPIRULINA SUPERADE, BLUE SPIRULINA",2177101,,0.45,2.95,0.0
"Seaweed, spirulina, raw",170091,,5.92,2.42,0.39
"Seaweed, spirulina, dried",170495,,57.47,23.9,7.72
Kefir,2705394,,3.59,7.48,0.96
KEFIR,2090546,,4.17,5.83,1.88
"Kefir, lowfat, plain, LIFEWAY",170904,,3.79,4.77,1.02
Buttermilk,2705393,,3.46,4.81,1.08
BUTTERMILK,2062440,,3.33,5.0,3.33
BUTTERMILK,1043197,,3.33,5.42,0.42
HEAVY CREAM,1918527,,0.0,0.0,40.0
HEAVY CREAM,2456541,,0.0,0.0,33.33
HEAVY CREAM,2384647,,0.0,6.67,40.0
HALF AND HALF,1625646,,3.33,3.33,11.67
HALF AND HALF,2466362,,3.33,13.33,0.0
HALF AND HALF,2678989,,3.33,3.33,11.67
BLUE CHEESE,1539469,,21.43,0.0,28.57
BLUE CHEESE,1858124,,21.43,3.57,17.86
BLUE CHEESE,2440611,,21.43,0.0,28.57
"Cheese, Brie",2705708,,20.8,0.45,27.7
"BRIE CHEESE & TOPPING, BRIE",2678251,,10.71,39.29,16.07
"Cheese, brie",172177,,20.75,0.45,27.68
SWISS CHEESE,2099781,,28.57,3.57,28.57
SWISS CHEESE,2455475,,25.58,2.33,30.23
SWISS CHEESE,2021566,,26.09,4.35,26.09
"Cheese, Camembert",2705707,,19.8,0.46,24.3
CAMEMBERT CHEESE,2028706,,17.86,0.0,21.43
"Cheese, camembert",172178,,19.8,0.46,24.26
PROVOLONE CHEESE,2070562,,28.57,0.0,23.81
PROVOLONE CHEESE,1945264,,25.0,3.57,28.57
PROVOLONE CHEESE,2433157,,25.0,3.57,28.57
MONTEREY JACK CHEESE,1898491,,25.0,0.0,32.14
MONTEREY JACK CHEESE,2010277,,25.0,3.57,28.57
MONTEREY JACK CHEESE,2389190,,25.0,0.0,28.57
PEPPER JACK CHEESE,391243,,25.0,0.0,32.14
PEPPER JACK CHEESE,2126093,,25.0,0.0,32.14
PEPPER JACK CHEESE,2618378,,21.43,0.0,32.14
"Cashews, NFS",2707493,,15.3,32.7,46.4
Cashew butter,2707536,,12.1,30.3,53.0
CASHEW MILK,2014635,,2.2,5.73,5.29
Wasabi peas,2707422,,14.1,62.2,14.1
Pea salad,2710056,,2.98,10.6,14.0
"Soup, pea, green, canned, prepared with equal volume milk",172896,,4.97,12.69,2.77
Macadamia nuts,2707503,,7.79,12.8,76.1
MACADAMIA MILK,520303,,0.4,0.4,2.0
"Nuts, macadamia nuts, raw",170178,,7.91,13.82,75.77
Coconut milk,2705413,,0.21,2.92,2.08
"Milk, human",2705383,,,,
"Seeds, hemp seed, hulled",170148,,31.56,8.67,48.75
TEFF,2665462,,12.77,74.47,3.19
"Teff, cooked",168918,,3.87,19.86,0.65
"Teff, uncooked",169747,,13.3,73.13,2.38
"ORGANIC KAMUT GRAIN, KAMUT",2403273,,15.22,69.57,2.17
"KAMUT ORGANIC KHORASAN WHEAT, KAMUT",2659521,,13.33,68.89,1.11
"KAMUT HOT CEREAL, KAMUT",2398335,,15.0,75.0,1.25
FARRO,2059934,,13.33,66.67,
FARRO,1899570,,15.38,70.33,2.2
FARRO,2659627,,3.33,29.33,0.67
SPELT,2014230,,10.0,54.0,1.0
"Spelt, cooked",169746,,5.5,26.44,0.85
"Spelt, uncooked",169745,,14.57,70.19,2.43
CRACKED FREEKEH,2020470,,20.0,65.0,2.5
"FREEKEH ORGANIC AND FAIR, FREEKEH",2476063,,12.5,60.0,4.5
FREEKEH FLOUR,2399929,,13.33,40.0,1.67
"Plantain, cooked with oil",2709559,,1.26,30.9,3.24
Plantain chips,2709563,,2.28,63.8,29.6
"Plantain, raw",2709560,,1.3,31.9,0.35
"Amaranth grain, cooked",170683,,3.8,18.69,1.58
"Amaranth grain, uncooked",170682,,13.56,65.25,7.02
"Flour, amaranth",2512371,384.076,13.2093,68.7787,6.236
Yuca fries,2709565,,1.24,34.7,13.9
YUCA,2154126,,0.94,18.87,0.0
YUCA,2483068,,1.18,29.41,0.0
CASSAVA,2655201,,0.91,40.0,0.0
CASSAVA,1856475,,3.88,33.01,0.97
CASSAVA,2424401,,0.56,35.0,0.0
"Rutabaga, raw",2709804,,1.08,8.62,0.16
"Rutabaga, cooked",2709980,,1.13,8.98,2.9
RUTABAGA,577891,,1.0,8.0,0.0
Taro chips,2709569,,2.3,68.1,24.9
"Taro, cooked",2709567,,1.57,27.6,2.95
"Taro, raw",169308,,1.5,26.46,0.2
"Parsnips, cooked",2709955,,1.29,16.5,2.84
"Parsnips, raw",170417,,1.2,17.99,0.3
"Parsnips, cooked, boiled, drained, with salt",170508,,1.32,17.01,0.3
POLENTA,1895740,,1.6,13.6,0.4
POLENTA,2384510,,5.0,72.5,0.0
CLASSIC POLENTA,2657066,,6.67,80.0,0.0
"Grits, with cheese, no added fat",2708368,,3.6,11.5,3.92
"Grits, with cheese, fat added",2708369,,3.56,11.4,5.28
"Grits, NFS",2708363,,1.19,12.2,1.84
BULGUR,1899571,,12.0,76.0,1.3
BULGUR,2017935,,12.5,67.05,2.27
BULGUR,1893881,,4.0,32.0,1.0
"Roll, wheat or cracked wheat",2707746,,8.6,46.0,6.3
"Berries, frozen",2709272,,0.76,12.5,0.34
"Bread, wheat or cracked wheat",2707720,,10.7,47.5,4.53
STEEL CUT OATS,2136778,,13.33,68.89,6.67
STEEL CUT OATS,2121423,,13.33,66.67,6.67
STEEL CUT OATS,2033575,,12.5,67.5,6.25
"Papaya, canned",2709247,,0.35,13.1,0.21
PAPAYA,2670269,,2.5,65.0,0.0
"Papayas, raw",169926,,0.47,10.82,0.26
Passion fruit nectar,2709348,,0.16,17.4,0.06
PASSION FRUIT,454157,,1.11,6.67,0.0
PASSION FRUIT,1899319,,1.79,64.29,0.0
Dragon fruit,2709234,,0.68,16.2,0.21
DRAGON FRUIT,1871770,,3.57,82.14,0.0
DRAGON FRUIT,2376793,,0.71,10.71,0.0
Lychee,2709240,,0.83,16.5,0.44
LYCHEE,2539142,,0.0,0.01,0.0
"LYCHEE PIECES, LYCHEE",2541768,,5.0,82.5,0.0
GUAVA,2295367,,0.6,11.15,0.2
Guava nectar,2709344,,0.3,13.3,0.07
"Pastry, Pastelitos de Guava (guava pastries)",167528,,5.48,47.76,18.5
"Pomegranate, raw",2709267,,1.67,18.7,1.17
POMEGRANATE,2541400,,0.0,12.08,0.0
POMEGRANATE,2287257,,14.29,57.14,21.43
"Persimmon, dried",2709209,,1.54,96.1,0.66
"Persimmon, raw",2709259,,0.58,18.6,0.19
"Persimmons, japanese, dried",169942,,1.38,73.43,0.59
STAR FRUIT,2039058,,5.0,72.5,0.0
STAR FRUIT,1899127,,0.0,85.71,0.0
"DENNY'S, chicken nuggets, star shaped, from kid's menu",168079,,16.27,13.59,28.57
"Jackfruit, canned, syrup pack",168190,,0.36,23.94,0.14
"PAMANA, JACKFRUIT IN SYRUP, JACKFRUIT, JACKFRUIT",2627987,,0.0,17.55,0.0
"Jackfruit, raw",174687,,1.72,23.25,0.64
Essente Durian Segments without Seed 500g,2182728,,1.0,7.0,1.0
DRIED DURIAN MONTHONG,453999,,6.0,83.33,8.0
"Durian, raw or frozen",168192,,1.47,27.09,5.33
"ELDERBERRY JAM, ELDERBERRY",1957302,,0.0,66.67,0.0
"ELDERBERRY JAM, ELDERBERRY",2628899,,6.67,66.67,0.0
"Elderberries, raw",171727,,0.66,18.4,0.5
GOJI BERRIES,1871732,,14.29,67.86,5.0
GOJI BERRIES,1961414,,10.71,75.0,0.0
GOJI BERRIES,2468596,,12.5,75.0,1.25
CRANBERRIES,2072482,,0.0,82.5,0.0
CRANBERRIES,2599862,,0.0,12.0,0.0
CRANBERRIES,2463410,,0.0,82.5,0.0
"Fruit juice, acai blend",2710777,,0.83,12.8,0.83
"Beverages, V8 V- FUSION Juices, Acai Berry",174170,,0.0,10.98,0.0
"Beverages, Acai berry drink, fortified",173175,,0.83,12.83,0.83
MULBERRIES,1890583,,10.71,78.57,3.57
"MULBERRY ORGANIC BERRIES, MULBERRY",2653473,,3.33,83.33,3.33
"Mulberries, raw",169913,,1.44,9.8,0.39
APRICOT,1917379,,0.0,45.0,0.0
APRICOT,2107589,,0.0,13.53,0.0
"Apricot, raw",2709221,,1.4,11.1,0.39
"Cherries, raw",2709231,,1.04,16.2,0.19
CHERRY,2135570,,4.0,42.0,20.0
CHERRY,2445454,,0.0,74.29,0.0
Coconut milk,2705413,,0.21,2.92,2.08
COCONUT,2167906,,3.57,46.43,35.71
